d,yoy2019retspend1,yoy2019retspend2,yoy2019retspend3,yoy2019retspend4
1/8/2020,.0109234534269154,.0802127387863565,.0739720740597778,.0864425823577484
1/15/2020,-.0038575079150636,.0441198327158248,.0668361306526126,.0622981614756482
1/22/2020,.0293715157112731,.0609774350684507,.0775501954069691,.0786273918608895
1/29/2020,.047617068734283,.0409381550974568,.051755842587252,.0411375558886391
2/5/2020,.0396124796720472,.0583985164202574,.0507509864415132,.0395425688430047
2/12/2020,.0211721715641269,.0140710238521002,.0235288184029609,.0101740775828312
2/19/2020,.0297294811958826,.045307492007898,.0438376968367458,.0487858118244584
2/26/2020,.0069139322102989,-.0017965060563541,.0190639552907559,.0112252979720049
3/4/2020,.0203946025783768,.078316242791036,.0541375240278605,.0635553073316708
3/11/2020,.0963849525502125,.0614121201950635,.0466670420288564,.0317141494034592
3/18/2020,.1483570762768447,.1765293742259944,.1381064780676624,.1429901123481936
3/25/2020,-.1440734322946395,-.1304582284290454,-.1460546113954323,-.1622106298377362
4/1/2020,-.2349045880486074,-.2356306646435863,-.2540856357708706,-.2660968742060732
4/8/2020,-.1299391609603295,-.1029113487464135,-.1396186315577281,-.1836051066480537
4/15/2020,-.097086761794595,-.1134098462490144,-.1597065701415451,-.2249483377823278
4/22/2020,.1524747075994501,.0811714085930222,.0023365368985047,-.161678547316826
4/29/2020,.0161431915209569,-.000340811992359,-.0682669799908007,-.1396872171830136
5/6/2020,.1234298339916613,.0981312856750733,.0196904779449532,-.08058451621959
5/13/2020,.1018106147757751,.0381082266856503,-.0242145878865339,-.104130375307198
5/20/2020,.1417473110482605,.0874348419374338,.0250879889428282,-.0668272858544355
5/27/2020,.1733506324477538,.0825416087290796,.0042381120870283,-.0811032678203932
6/3/2020,.1332729688892604,.0469050742947223,.0041406310958696,-.0830394993599047
6/10/2020,.2121825094569396,.1407160722437928,.0748373133627869,-.0263073107487578
6/17/2020,.192771070268922,.0899123711135101,.046657456561066,-.0437586920912197
6/24/2020,.2530538566621847,.1800761414042313,.1094317508606435,.0279816309941952
7/1/2020,.078408961196119,-.0047781369105024,-.0560960585568064,-.0948903521069391
7/8/2020,.2441200546382603,.1871143272694771,.1076094585509444,.0213503849307803
7/15/2020,.1550334768490931,.0739778446325212,.0301024122000213,-.0438601981661866
7/22/2020,.1937961185433621,.1477865482339209,.0878509159584961,-.0175626145304595
7/29/2020,.1861036475004751,.0791041638208392,.050435789610731,-.0177234090913838
8/5/2020,.1590172584314993,.1110829582341841,.0380595515092754,-.0266404973124205
8/12/2020,.1982562655392488,.1239995218631591,.0778608195776382,-.0146164002965089
8/19/2020,.1649406059927803,.1482447250133909,.084331445461638,.0094824717334694
8/26/2020,.1896024726249372,.1447981695028728,.0949244693963702,.0143600812349272
9/2/2020,.0704424549217466,-.0187711037193516,-.0579834407128159,-.0895935867245943
9/9/2020,.314189454884898,.273793899244231,.2766000098589685,.1648527307799355
9/16/2020,.1925935392711955,.0995818756541975,.0507173424753233,-.0037279747995194
9/23/2020,.2132084024117236,.1812411608286679,.1272131910278225,.0513206426532922
9/30/2020,.1359110213202728,.0655098963499356,.0215948095080338,-.0145531540875322
10/7/2020,.221264702094804,.1730421451293027,.122170889582657,.0557321900152117
10/14/2020,.133502995379233,.0568206646991356,.0193749773914003,-.0192838464495657
10/21/2020,.1868699123576465,.1759786922995925,.1338216317231227,.0389557754162666
10/28/2020,.1153237729332379,.1241954028124039,.0941184883492427,.0193209765637214
11/4/2020,.131622366940372,.0934556560069837,.05773097809104,.0145606244329237
11/11/2020,.1366309549603513,.1225856015023177,.0691838035490853,-.0131085844593442
11/18/2020,.2126310355592176,.1873611524204926,.1577899903066071,.063590131212204
11/25/2020,.2169431948342311,.1768638757725849,.1146482517539036,.0478702095177312
12/2/2020,.0179112653665565,-.0455046061145844,-.0646460668820581,-.1068604881113334
12/9/2020,.2387000403105528,.1806374547303573,.1275249386656778,.0463973011596535
12/16/2020,.1264372126860736,.0345296916284998,.0196380835257888,-.057185950146449
12/23/2020,.1543228731925603,.1142687320646969,.0862515695337305,-.0232303736223142
12/30/2020,.138863862939608,.0749643648583,.0462254716651176,-.0202092128659607
1/6/2021,.4148834988431711,.4565917468295797,.3579327981686615,.1774510737666324
1/13/2021,.3624734850689233,.3621095784099966,.3183071115488463,.1545770832228723
1/20/2021,.3313223358654278,.3225908544624529,.2741400046690152,.1546431818358329
1/27/2021,.2857703540828902,.2382257028350927,.2184108292927678,.1165219834283804
2/3/2021,.1917239649875846,.1667847158564346,.1444876883866577,.0629666344391961
2/10/2021,.2104987854732305,.1461706553363211,.1198297860286734,.045284652617354
2/17/2021,.1138418934254359,.0614933065345136,.0309821427640471,-.0110372702770043
2/24/2021,.07584470495269,.0700844635043802,.065149121525222,.0192011478682617
3/3/2021,.0669629791566728,.0979850046663975,.0741361395766222,.0591162328582353
3/10/2021,.25867377207849,.1874536816790111,.1522050114127806,.0691181034881989
3/17/2021,.3298412093734135,.321843033545181,.2346934456590735,.1034995055771044
3/24/2021,.6717349514195432,.5244015159807984,.3905036721281392,.1679547534901509
3/31/2021,.371789090429709,.2739106725995015,.2143061521739844,.0920198949942763
4/7/2021,.4477032129150507,.396872279144342,.3062221181009048,.1523588474324991
4/14/2021,.401996179872232,.27321325691511,.189537812340393,.0787726564066149
4/21/2021,.3842369342314336,.2730082446558701,.2158800909267387,.0727947627595589
4/28/2021,.2535354247005066,.1856250127567987,.1191275267748588,.0470581577239828
5/5/2021,.3203326786798779,.2861161748977346,.1970359621527968,.0815634020434526
