d,yoy2019retspend_q4q1,yoy2019retspend_q4q3,yoy2019retspend_q2q1
8/4/2021,-.1837144460794881,-.1013585071163123,-.06222649437752
8/11/2021,-.1684085831824793,-.1073660550019412,-.0334542118189258
8/18/2021,-.1673117366579848,-.1035066187254452,-.025336170146695
8/25/2021,-.2001934408708372,-.0877380525587929,-.0643337124161143
9/1/2021,-.1894844794625352,-.0583762645896658,-.1074585022490345
9/8/2021,-.1310973725631615,-.117477205024435,-.0304975600937027
9/15/2021,-.177053042582253,-.0729671241940921,-.0704375108649888
9/22/2021,-.1803052804964561,-.1242586625991869,-.0205514624607165
9/29/2021,-.1488284672432076,-.0606833621967706,-.0568254185708958
10/6/2021,-.1680895972587253,-.0971214448319893,-.0350279384689629
10/13/2021,-.1648397416766492,-.050732665299318,-.0898547959485076
10/20/2021,-.1776968069763424,-.102299354707783,-.0336515173186206
10/27/2021,-.1361143869491761,-.1003301046797611,-.0010433705640048
11/3/2021,-.1439609167653195,-.0609814268735894,-.0558541589173303
11/10/2021,-.1718058553503903,-.0789320207366858,-.0516087281932233
11/17/2021,-.1685290903476112,-.0888802713113623,-.0599880041539522
11/24/2021,-.1838868793177449,-.0888800259762889,-.0596181396128903
12/1/2021,-.1612438593345538,-.0703088406313588,-.0775004421629596
12/8/2021,-.1687675345253222,-.1152107853432325,-.021069128838156
12/15/2021,-.1767436941874774,-.086511393582156,-.0680837584968678
12/22/2021,-.1911965544937207,-.1240393497599819,-.0597266221259426
12/29/2021,-.1623054799217325,-.0714203396794105,-.0703915448813008
1/5/2022,-.1086740711289716,-.0939032825381928,.0254504028346654
1/12/2022,-.0945754088025358,-.061499156224659,-.0035665819864772
1/19/2022,-.1294987859268086,-.0651806910209598,-.0373200410928007
1/26/2022,-.1402464496544764,-.0804890183974606,-.0545198866174843
2/2/2022,-.0812523187126071,-.0463343163798857,-.0080699597914432
2/9/2022,-.1443264467345773,-.0951660400170803,-.0257177414426846
2/16/2022,-.1553780642147635,-.055764804588785,-.0866528302524958
2/23/2022,-.0543617334712156,-.0493472535848363,-.004398932540678
3/2/2022,-.0402884371536162,-.0114068756639066,-.0206113651066898
3/9/2022,-.146706810672106,-.0788878137638409,-.0555426554329893
3/16/2022,-.134071447797407,-.0446837842972225,-.0601695372994888
3/23/2022,-.1425934702180528,-.0653411865128594,-.0348850765767696
3/30/2022,-.1163940452903121,-.0322627997859546,-.0543899580952956
4/6/2022,-.1545189034868246,-.0955557372934451,-.0217706009525503
4/13/2022,-.1541402710717317,-.0458168671036275,-.0662760428700566
4/20/2022,-.1680704931881908,-.1046972311764388,-.0549878664495828
4/27/2022,-.1485929204947497,-.0588945911087432,-.0544252463684521
5/4/2022,-.1551283480302017,-.1189250012307054,-.0041338070917784
5/11/2022,-.1770993588022217,-.0829749408813308,-.0738724230233984
5/18/2022,-.1718280799952369,-.0895077484505576,-.0424626829975775
5/25/2022,-.2150444619080929,-.0883311917254439,-.0873344122811363
6/1/2022,-.1507632581516019,-.0825464742412839,-.069021227547616
6/8/2022,-.1747074153696583,-.1030445370670051,-.0453436235137483
6/15/2022,-.2022365530818868,-.0713519486355894,-.1053540897852691
6/22/2022,-.1787118850924654,-.089076573204929,-.0393414541754246
6/29/2022,-.1606735733293672,-.0603011043190557,-.0776891616579536
