d,spend_q4q1,spend_q4q3,spend_q2q1
12/22/2021,2.279249763880038,1.381752402955202,1.270120455058523
12/29/2021,2.179059991510354,1.365169111611343,1.238136709154372
1/5/2022,2.192414526108685,1.338232697376401,1.271834187282156
1/12/2022,2.227435454147723,1.379806083758725,1.244878271808455
1/19/2022,2.240811305018932,1.354391920267615,1.267910368827249
1/26/2022,2.228491705712417,1.374234729663382,1.251436424520393
2/2/2022,2.196552992719683,1.342248761423202,1.279238997580172
2/9/2022,2.187318120593648,1.350365257913471,1.26315046473111
2/16/2022,2.143651785711246,1.325854332346692,1.242796316759406
2/23/2022,2.153272887788524,1.339396808499775,1.269063186404209
3/2/2022,2.00417437821525,1.299804153793478,1.228887342111076
3/9/2022,2.024730564832685,1.310393608627457,1.225652602003555
3/16/2022,2.096901136081509,1.321019507448624,1.240363616499166
3/23/2022,2.098549416328248,1.313715778038855,1.262019631901572
3/30/2022,2.115402278405831,1.338031852256372,1.257392690042324
