d,yoyretspend1,yoyretspend2,yoyretspend3,yoyretspend4
1/8/2020,.0109234534269154,.0802127387863565,.0739720740597778,.0864425823577484
1/15/2020,-.0038575079150636,.0441198327158248,.0668361306526126,.0622981614756482
1/22/2020,.0293715157112731,.0609774350684507,.0775501954069691,.0786273918608895
1/29/2020,.047617068734283,.0409381550974568,.051755842587252,.0411375558886391
2/5/2020,.0396124796720472,.0583985164202574,.0507509864415132,.0395425688430047
2/12/2020,.0211721715641269,.0140710238521002,.0235288184029609,.0101740775828312
2/19/2020,.0297294811958826,.045307492007898,.0438376968367458,.0487858118244584
2/26/2020,.0069139322102989,-.0017965060563541,.0190639552907559,.0112252979720049
3/4/2020,.0203946025783768,.078316242791036,.0541375240278605,.0635553073316708
3/11/2020,.0963849525502125,.0614121201950635,.0466670420288564,.0317141494034592
3/18/2020,.1483570762768447,.1765293742259944,.1381064780676624,.1429901123481936
3/25/2020,-.1440734322946395,-.1304582284290454,-.1460546113954323,-.1622106298377362
4/1/2020,-.2349045880486074,-.2356306646435863,-.2540856357708706,-.2660968742060732
4/8/2020,-.1299391609603295,-.1029113487464135,-.1396186315577281,-.1836051066480537
4/15/2020,-.097086761794595,-.1134098462490144,-.1597065701415451,-.2249483377823278
4/22/2020,.1524747075994501,.0811714085930222,.0023365368985047,-.161678547316826
4/29/2020,.0161431915209569,-.000340811992359,-.0682669799908007,-.1396872171830136
5/6/2020,.1234298339916613,.0981312856750733,.0196904779449532,-.08058451621959
5/13/2020,.1018106147757751,.0381082266856503,-.0242145878865339,-.104130375307198
5/20/2020,.1417473110482605,.0874348419374338,.0250879889428282,-.0668272858544355
5/27/2020,.1733506324477538,.0825416087290796,.0042381120870283,-.0811032678203932
6/3/2020,.1332729688892604,.0469050742947223,.0041406310958696,-.0830394993599047
6/10/2020,.2121825094569396,.1407160722437928,.0748373133627869,-.0263073107487578
6/17/2020,.192771070268922,.0899123711135101,.046657456561066,-.0437586920912197
6/24/2020,.2530538566621847,.1800761414042313,.1094317508606435,.0279816309941952
7/1/2020,.078408961196119,-.0047781369105024,-.0560960585568064,-.0948903521069391
7/8/2020,.2441200546382603,.1871143272694771,.1076094585509444,.0213503849307803
7/15/2020,.1550334768490931,.0739778446325212,.0301024122000213,-.0438601981661866
7/22/2020,.1937961185433621,.1477865482339209,.0878509159584961,-.0175626145304595
7/29/2020,.1861036475004751,.0791041638208392,.050435789610731,-.0177234090913838
8/5/2020,.1590172584314993,.1110829582341841,.0380595515092754,-.0266404973124205
8/12/2020,.1982562655392488,.1239995218631591,.0778608195776382,-.0146164002965089
8/19/2020,.1649406059927803,.1482447250133909,.084331445461638,.0094824717334694
8/26/2020,.1896024726249372,.1447981695028728,.0949244693963702,.0143600812349272
9/2/2020,.0704424549217466,-.0187711037193516,-.0579834407128159,-.0895935867245943
9/9/2020,.314189454884898,.273793899244231,.2766000098589685,.1648527307799355
9/16/2020,.1925935392711955,.0995818756541975,.0507173424753233,-.0037279747995194
9/23/2020,.2132084024117236,.1812411608286679,.1272131910278225,.0513206426532922
9/30/2020,.1359110213202728,.0655098963499356,.0215948095080338,-.0145531540875322
10/7/2020,.221264702094804,.1730421451293027,.122170889582657,.0557321900152117
10/14/2020,.133502995379233,.0568206646991356,.0193749773914003,-.0192838464495657
10/21/2020,.1868699123576465,.1759786922995925,.1338216317231227,.0389557754162666
10/28/2020,.1153237729332379,.1241954028124039,.0941184883492427,.0193209765637214
11/4/2020,.131622366940372,.0934556560069837,.05773097809104,.0145606244329237
11/11/2020,.1366309549603513,.1225856015023177,.0691838035490853,-.0131085844593442
11/18/2020,.2126310355592176,.1873611524204926,.1577899903066071,.063590131212204
11/25/2020,.2169431948342311,.1768638757725849,.1146482517539036,.0478702095177312
12/2/2020,.0179112653665565,-.0455046061145844,-.0646460668820581,-.1068604881113334
12/9/2020,.2387000403105528,.1806374547303573,.1275249386656778,.0463973011596535
12/16/2020,.1264372126860736,.0345296916284998,.0196380835257888,-.057185950146449
12/23/2020,.1543228731925603,.1142687320646969,.0862515695337305,-.0232303736223142
12/30/2020,.1448100339002614,.0694359088421679,.0279107712451321,-.0314751335704387
1/6/2021,.3995950870927736,.3484304475672946,.2644023350025004,.0837674193618052
1/13/2021,.3677495899379337,.3045529217341456,.235716595708473,.0868672516754041
1/20/2021,.2933351229808543,.2465777411911911,.1824414399440557,.0704745591930482
1/27/2021,.2273285654235671,.1895285966524736,.158454063155528,.0724058287143419
2/3/2021,.1463155630485717,.1024058497386824,.089209244773202,.0225330508805062
2/10/2021,.1854012664868381,.1302666463956546,.0940872068223475,.0347569550770261
2/17/2021,.0816839895968298,.0154842614736501,-.0123156637393499,-.0570403236075392
2/24/2021,.0684574624874636,.0720103365664961,.0452230362924744,.007887312463654
3/3/2021,.0456376155465985,.0182402537352606,.0189715431743165,-.0041738068935715
3/10/2021,.1480217501624683,.1187489374634088,.1008324186642484,.0362541834929442
3/17/2021,.1580380674667579,.1235104388403259,.0848663718665423,-.0345502610604028
3/24/2021,.9531289417750755,.7531090119187074,.628328568411572,.3940911583348692
3/31/2021,.7929647322429116,.6666166651040448,.6279431130528206,.4879619075241619
4/7/2021,.6639103243779512,.5571173230119015,.518189684262726,.4115213811555769
4/14/2021,.5527473964816205,.436078724231709,.4156219364237648,.3918719344719541
4/21/2021,.2010996207584748,.177434248203524,.2130457647378539,.2796937968435829
4/28/2021,.2336208471015022,.1860292257402192,.2011246813639911,.217066837360619
5/5/2021,.1752693748470258,.1711861702465731,.1739208985899912,.1763597863246007
