d,yoy2019spend_q4q1,yoy2019spend_q2q1,yoy2019spend_q4q3
1/8/2020,.059542687122514,.0487157252494181,.0100064858101301
1/15/2020,.0436315144561228,.0136457957029443,.0041114766010584
1/22/2020,.0334505642567349,.0215139912181694,.0036836593308849
1/29/2020,.0053102625491444,.0034302640136235,-.0057031376182427
2/5/2020,.0070116441340948,.0118436455054021,-.0085126686132466
2/12/2020,.0079422995009919,-.0015386930179548,-.0049910391941423
2/19/2020,.0085945123715565,.011095856581071,.0010260264493838
2/26/2020,.0190993265361117,-.0027377927010643,-.0002514428729957
3/4/2020,.0007620601213045,.0292692076593362,-.0107630120097785
3/11/2020,-.0365419055955132,-.0126343628985139,-.003295939889461
3/18/2020,-.0113068966692753,.0156188129017614,-.009724881143349
3/25/2020,-.0279921800495444,.0137035348702139,-.028895623693546
4/1/2020,-.0300582467028142,-.0133166215839992,-.0139004497173794
4/8/2020,-.0468392024477229,.0293856252273037,-.0438238519535258
4/15/2020,-.1389792775163313,-.0435367082735565,-.067335583595018
4/22/2020,-.2203952767502716,-.0425103234313833,-.1381686880465869
4/29/2020,-.1390201527071482,-.0448520611623613,-.0659207450085705
5/6/2020,-.1359688216849956,-.0153110614249043,-.0898909414107482
5/13/2020,-.1441484575760984,-.0595345881047289,-.0509270896652588
5/20/2020,-.1404966118965666,-.0346834828892189,-.0713875608775464
5/27/2020,-.1582915136495153,-.0637149877830818,-.058292955968548
6/3/2020,-.1535226282164029,-.0757298107682416,-.0728911264323917
6/10/2020,-.1609451635709451,-.0544800687908137,-.0588105825703029
6/17/2020,-.154594581882495,-.0819357778193255,-.0586276382376143
6/24/2020,-.1524435500001782,-.0702892796584174,-.0539766137420707
7/1/2020,-.1201565562841713,-.0681692233030649,-.025879984379034
7/8/2020,-.1316131730057709,-.0249118007492889,-.0648149154628973
7/15/2020,-.1525331710226489,-.0904608063850485,-.0343513977145742
7/22/2020,-.1440695843385862,-.0385301220644264,-.0779595306823923
7/29/2020,-.1241582257085863,-.0590864209707916,-.0496764805684151
8/5/2020,-.1284902365879679,-.0402419700854301,-.0520092628265649
8/12/2020,-.1500485051234373,-.0588552515874901,-.0669416497532045
8/19/2020,-.1172360738843559,-.0256602667818578,-.0477475418370843
8/26/2020,-.1135059733316306,-.0259562925421933,-.0490423892943489
9/2/2020,-.1276713706562227,-.0659979809682691,-.0236111991882099
9/9/2020,-.0989413516858181,-.0324852269756376,-.0591782363875911
9/16/2020,-.1280945052439096,-.0686567322616649,-.0272196682405745
9/23/2020,-.1017807852514148,-.0131504597583627,-.0542855247991472
9/30/2020,-.1086632604084475,-.0664116016423008,-.00815570873724
10/7/2020,-.1247073039408099,-.0457804318353288,-.0582656301362908
10/14/2020,-.1299073031364125,-.074946245478547,-.0350719123069595
10/21/2020,-.110357506113807,-.0185197621151889,-.0708966121371187
10/28/2020,-.108388264892501,-.0283220469437225,-.0665814845139931
11/4/2020,-.1094789946040192,-.0438910871752005,-.0415008017368607
11/11/2020,-.1027228437769062,-.0035550624621233,-.0553015992771961
11/18/2020,-.0976380925061633,-.024444177617,-.0534682904354536
11/25/2020,-.1080987806593169,-.0377891986054313,-.0405231583077502
12/2/2020,-.1046279462901974,-.0683493589057006,-.0276941160182836
12/9/2020,-.1175438815484776,-.0280180566343524,-.0522320267167183
12/16/2020,-.1289269416224688,-.0773792629978175,-.0305697950299635
12/23/2020,-.1049323373189871,-.0148017530677268,-.0667344774689038
12/30/2020,-.1230453056825066,-.0660629872876904,-.0288004888732044
1/6/2021,-.1431400536658668,.0183532903203083,-.1140870014251273
1/13/2021,-.1442987842226896,-.0349842246248127,-.0875404711477827
1/20/2021,-.1065317246981281,-.0017683462974757,-.0786601865926636
1/27/2021,-.1014559165252611,-.0299265225566447,-.0586672991025514
2/3/2021,-.0979194321035504,-.0450684709830101,-.0417024881495168
2/10/2021,-.092128151844142,-.035266283937453,-.0403848366346694
2/17/2021,-.0952594103173344,-.0417084710881537,-.0292449512998559
2/24/2021,-.0418242581512897,-.0029593135335844,-.0239379597548702
3/3/2021,-.0196034735191558,.0005052100858514,-.0190197356546365
3/10/2021,-.1168181549172098,-.035498019733309,-.0385402749450551
3/17/2021,-.1501694351116932,-.0282230007285112,-.076672606980531
3/24/2021,-.2551134651938743,-.0614156288857083,-.1413761846535169
3/31/2021,-.1665972376457416,-.0615601918098375,-.064427143240901
4/7/2021,-.1695364483729714,-.0199207385192813,-.1027282461528722
4/14/2021,-.1892540375592504,-.0885084415635635,-.0585603205469459
4/21/2021,-.1725396989292579,-.0393815235737879,-.0898925223748261
4/28/2021,-.1307164258721512,-.0578682732740973,-.0355507570659507
5/5/2021,-.1410193487699624,-.028404594906177,-.0669589943094006
5/12/2021,-.139219892869613,-.0475981840314059,-.055706521218279
5/19/2021,-.163786607751033,-.0612431933070886,-.072013546109202
5/26/2021,-.1842932063641604,-.0783500785731355,-.0701538497434813
6/2/2021,-.1291531621140145,-.0594529234169978,-.0533484120890018
6/9/2021,-.1610570157911211,-.0471184766019689,-.0674337197587336
6/16/2021,-.1634095033208613,-.0850818340067024,-.0494407664435098
6/23/2021,-.1671850650663907,-.0495890172360699,-.0724149881088783
6/30/2021,-.146911378725076,-.0848632683770848,-.0324199522194117
7/7/2021,-.1427380177029884,-.0021801841182116,-.0924299877498959
7/14/2021,-.1682201967088571,-.1065274945496262,-.0270937876316567
7/21/2021,-.1870623802614181,-.0514833903754819,-.0964186280207597
7/28/2021,-.1515953810661061,-.0484848946414215,-.0731365818270578
8/4/2021,-.1555451142173263,-.0575374613757476,-.063791223878746
8/11/2021,-.1592187338672226,-.0510506819304443,-.0776202946050033
8/18/2021,-.1598605938739759,-.0359073790413688,-.0712095589248923
8/25/2021,-.1660408677655814,-.0556916222900815,-.0574835712051636
9/1/2021,-.183346067667964,-.1051836035976822,-.0426194432362749
9/8/2021,-.1300220397152663,-.0445664495515109,-.0759283337210679
9/15/2021,-.15666039789193,-.088493721391547,-.0317079767340537
9/22/2021,-.1490802637616775,-.0202959582324778,-.0937918778882578
9/29/2021,-.1269199140655098,-.0712202563010853,-.0181694436130958
10/6/2021,-.1571166368157263,-.0409649932269455,-.0834742901920558
10/13/2021,-.1602113715825674,-.0854203728323104,-.0371330054466439
10/20/2021,-.1519082356340646,-.0313325921833543,-.0850651532868349
10/27/2021,-.1362966347499799,-.0263437687566859,-.0749663326629998
11/3/2021,-.1416760010757498,-.0652657047643984,-.0443958664762575
